VBB-Nr;HAFAS-Nr;NAME;KOORDINATE_Y;KOORDINATE_X;lat;lon
1103;9001103;Berlin, Wiebestr./Huttenstr.;5822508;4589702;52.528315;13.320255
1132;9001132;Berlin, Waltersdorfer Str./Krumme Str.;5808457;4607302;52.398914;13.574981
1133;9001133;Berlin, Dahmestr.;5808736;4607035;52.401472;13.571149
1151;9001151;Berlin, Reuchlinstr.;5822466;4589932;52.527900;13.323632
1152;9001152;Berlin, Neues Ufer;5822590;4589410;52.529100;13.315976
1154;9001154;Berlin, Ilsenburger Str.;5822210;4589000;52.525753;13.309834
1155;9001155;Berlin, Goslarer Platz;5822220;4589300;52.525793;13.314256
1200;9001200;Berlin, FennbrŸcke;5823681;4592443;52.538396;13.360958
1201;9001201;S+U Westhafen (Berlin);5823450;4591210;52.536528;13.342727
1202;9001202;Berlin, Am Nordhafen;5823735;4592622;52.538850;13.363610
1203;9001203;Berlin, Dšberitzer Str.;5822760;4592990;52.530028;13.368760
1204;9001204;Berlin, Lehrter Str./Invalidenstr.;5822281;4592759;52.525764;13.365223
1205;9001205;Berlin, Hamburger Bahnhof;5822490;4593290;52.527552;13.373103
1252;9001252;Berlin, Friedrich-Krause-Ufer;5823497;4592464;52.536739;13.361216
2101;9002101;Berlin, Turmstr./Waldstr.;5822386;4590395;52.527104;13.330430
2102;9002102;Berlin, Turmstr./Beusselstr.;5822410;4590280;52.527339;13.328743
2151;9002151;Berlin, Wittstocker Str.;5822801;4590257;52.530856;13.328510
2152;9002152;Berlin, Oldenburger Str.;5822347;4590771;52.526692;13.335958
2200;9002200;Berlin, Quitzowstr.;5823330;4592140;52.535294;13.356396
2201;9002201;U Birkenstr. (Berlin);5822970;4591130;52.532229;13.341417
2202;9002202;Berlin, Wilsnacker Str.;5822330;4591820;52.526363;13.351406
2203;9002203;Berlin, Stendaler Str.;5823007;4591748;52.532458;13.350532
2204;9002204;Berlin, Perleberger BrŸcke;5823336;4592251;52.535329;13.358033
2205;9002205;Berlin, Turmstr./LŸbecker Str.;5822310;4591420;52.526251;13.345508
2206;9002206;Berlin, Turmstr./Rathenower Str.;5822370;4592050;52.526684;13.354805
2207;9002207;Berlin, Stromstr.;5822635;4591312;52.529189;13.344006
2254;9002254;Berlin, Birkenstr./Rathenower Str.;5822698;4591915;52.529654;13.352907
2255;9002255;Berlin, Seydlitzstr.;5822421;4592684;52.527035;13.364158
2256;9002256;Berlin, Poststadion;5822780;4592560;52.530281;13.362431
2257;9002257;Berlin, Kruppstr.;5823122;4592364;52.533387;13.359639
2258;9002258;Berlin, Havelberger Str.;5822844;4591557;52.531025;13.347673
3101;9003101;U Hansaplatz (Berlin);5821400;4591210;52.518111;13.342165
3102;9003102;S Bellevue (Berlin);5821590;4591530;52.519764;13.346930
3103;9003103;S Tiergarten (Berlin);5820980;4590831;52.514400;13.336469
3104;9003104;U Turmstr. (Berlin);5822260;4591210;52.525837;13.342401
3105;9003105;Berlin, Bachstr.;5821451;4591033;52.518598;13.339573
3107;9003107;Berlin, Alt-Moabit/Gotzkowskystr.;5822032;4590365;52.523929;13.329892
3152;9003152;Berlin, Solinger Str.;5821663;4590768;52.520547;13.335728
3155;9003155;Berlin, Rathaus Tiergarten;5822281;4590990;52.526062;13.339166
3156;9003156;Berlin, Ottostr.;5822122;4590705;52.524681;13.334925
3181;9003181;Berlin, Zinzendorfstr.;5821844;4590478;52.522221;13.331506
3200;9003200;S+U Berlin Hauptbahnhof (tief);5822206;4593043;52.525042;13.369386
3201;9003201;S+U Berlin Hauptbahnhof;5822295;4593010;52.525847;13.368924
3202;9003202;Berlin, Kirchstr./Alt-Moabit;5822125;4591700;52.524542;13.349581
3203;9003203;Berlin, Alt-Moabit/Rathenower Str.;5822040;4592210;52.523692;13.357070
3204;9003204;Berlin, Kleiner Tiergarten;5822170;4591440;52.524990;13.345764
3205;9003205;Berlin, Washingtonplatz/Hauptbahnhof;5822088;4593135;52.523966;13.370708
3251;9003251;Berlin, Paulstr.;5821635;4592122;52.520069;13.355662
3252;9003252;Berlin, Schloss Bellevue;5821260;4592030;52.516715;13.354203
3253;9003253;Berlin, Haus der Kulturen der Welt;5821370;4592650;52.517598;13.363364
3254;9003254;U Bundestag (Berlin);5821640;4593330;52.519908;13.373454
3256;9003256;Berlin, Spenerstr.;5822070;4591970;52.524002;13.353543
3257;9003257;Berlin, Claire-Waldoff-Promenade;5822070;4592500;52.523913;13.361350
3260;9003260;Berlin, Bundeskanzleramt;5821730;4593175;52.520743;13.371197
4101;9004101;Berlin, Gro§er Stern;5821080;4591760;52.515143;13.350177
4104;9004104;Berlin, Reichstag/Bundestag;5821400;4593540;52.517716;13.376480
4105;9004105;Berlin, Platz der Republik;5821400;4593130;52.517786;13.370442
4151;9004151;Berlin, Nordische Botschaften/Adenauer-Stiftung;5820464;4591855;52.509593;13.351406
4181;9004181;Berlin, Hertzallee;5820400;4590580;52.509231;13.332615
5101;9005101;Berlin, Budapester Str.;5820120;4591472;52.506567;13.345672
5102;9005102;Berlin, CorneliusbrŸcke;5820241;4591673;52.507620;13.348665
5103;9005103;Berlin, Schillstr.;5819740;4591768;52.503103;13.349926
5104;9005104;Berlin, KurfŸrstenstr.;5819574;4592165;52.501545;13.355725
5105;9005105;Berlin, LŸtzowplatz;5819942;4591875;52.504900;13.351557
5150;9005150;Berlin, Tiergartenstr.;5820500;4592517;52.509805;13.361164
5152;9005152;Berlin, GedenkstŠtte Dt. Widerstand;5820050;4592670;52.505736;13.363292
5154;9005154;Berlin, Kšbisstr.;5820200;4592190;52.507165;13.356266
5155;9005155;Berlin, Hiroshimasteg;5820119;4592240;52.506429;13.356980
5156;9005156;Berlin, Bayreuther Str.;5819880;4591360;52.504430;13.343958
5201;9005201;U KurfŸrstenstr. (Berlin);5819390;4592650;52.499810;13.362814
5202;9005202;Berlin, LŸtzowstr./Potsdamer Str.;5819796;4592859;52.503422;13.366003
5205;9005205;Berlin, Potsdamer BrŸcke;5820080;4593010;52.505948;13.368306
5206;9005206;Berlin, Philharmonie;5820592;4593067;52.510538;13.369288
5208;9005208;Berlin, Varian-Fry-Str.;5820460;4593410;52.509293;13.374302
5252;9005252;U Mendelssohn-Bartholdy-Park (Berlin);5819850;4593450;52.503806;13.374719
5253;9005253;Berlin, Schšneberger BrŸcke;5819690;4593659;52.502333;13.377751
5255;9005255;Berlin, Kulturforum;5820261;4593066;52.507564;13.369181
6100;9006100;S Wollankstr./Sternstr. (Berlin);5826720;4594460;52.565352;13.391540
6102;9006102;Berlin, Prinzenallee/Soldiner Str.;5825968;4594115;52.558656;13.386241
6103;9006103;Berlin, Residenzstr./Reginhardstr.;5826113;4593046;52.560142;13.370523
6104;9006104;Berlin, Soldiner Str./Koloniestr.;5826120;4593760;52.560083;13.381050
6105;9006105;Berlin, VerlŠngerte Koloniestr.;5826955;4593988;52.567545;13.384648
6153;9006153;Berlin, St.-Elisabeth-Kirchhof;5826175;4594214;52.560498;13.387759
7102;9007102;S+U Gesundbrunnen Bhf (Berlin);5824900;4594258;52.549036;13.388045
7103;9007103;U Voltastr. (Berlin);5824116;4594620;52.541930;13.393157
7104;9007104;S Nordbahnhof (Berlin);5822990;4594300;52.531870;13.388123
7105;9007105;Berlin, Wolliner Str.;5823887;4595211;52.539770;13.401800
7106;9007106;Berlin, Usedomer Str./Feldstr.;5823808;4594217;52.539233;13.387132
7107;9007107;Berlin, Ruppiner Str.;5823807;4595021;52.539085;13.398978
7108;9007108;S Nordbahnhof/Gartenstr. (Berlin);5823155;4594254;52.533360;13.387492
7110;9007110;U Bernauer Str. (Berlin);5823682;4594837;52.537994;13.396231
7111;9007111;Berlin, Lortzingstr.;5824388;4595023;52.544304;13.399173
7112;9007112;Berlin, Gartenplatz;5823714;4594025;52.538422;13.384276
7113;9007113;Berlin, Theodor-Heuss-Weg;5823330;4594140;52.534952;13.385862
7114;9007114;Berlin, Gartenstr./Feldstr.;5823502;4593998;52.536522;13.383818
7150;9007150;Berlin, GedenkstŠtte Berliner Mauer;5823419;4594452;52.535698;13.390484
7152;9007152;Berlin, JŸlicher Str.;5825020;4594430;52.550085;13.390614
7153;9007153;Berlin, Ramlerstr.;5824730;4594700;52.547433;13.394511
7154;9007154;Berlin, Demminer Str.;5824200;4595044;52.542611;13.399429
7155;9007155;Berlin, Gleimstr.;5824580;4594945;52.546042;13.398079
7156;9007156;Berlin, SwinemŸnder Str.;5824566;4594731;52.545954;13.394921
7157;9007157;Berlin, RŸgener Str.;5824456;4594453;52.545014;13.390793
7158;9007158;Berlin, Brunnenstr./Ramlerstr.;5824680;4594350;52.547044;13.389339
7159;9007159;Berlin, Humboldtsteg;5824709;4593851;52.547391;13.381993
7160;9007160;Berlin, GrŸntaler Str.;5825607;4594431;52.555358;13.390796
7181;9007181;Berlin, Usedomer Str.;5823887;4594374;52.539916;13.389467
8101;9008101;S Humboldthain (Berlin);5824410;4593635;52.544742;13.378726
8102;9008102;U Reinickendorfer Str. (Berlin);5823860;4593080;52.539895;13.370393
8103;9008103;Berlin, Nettelbeckplatz/S Wedding;5824391;4593056;52.544670;13.370188
8104;9008104;U Reinickendorfer Str./Fennstr. (Berlin);5824040;4593010;52.541524;13.369412
8106;9008106;Berlin, Brunnenplatz;5825010;4593574;52.550142;13.377996
8151;9008151;Berlin, Gerichtstr./Hochstr.;5824241;4593434;52.543258;13.375716
8153;9008153;Berlin, Wiesenstr.;5824721;4593301;52.547593;13.373891
8158;9008158;Berlin, Schererstr.;5824784;4592979;52.548214;13.369164
8192;9008192;Berlin, Liesenstr.;5823581;4593380;52.537338;13.374735
9101;9009101;U Amrumer Str. (Berlin);5824090;4591660;52.542202;13.349534
9102;9009102;U Leopoldplatz (Berlin);5824580;4592320;52.546493;13.359395
9103;9009103;U Seestr. (Berlin);5825013;4591808;52.550470;13.351970
9104;9009104;S+U Wedding (Berlin);5824170;4592780;52.542732;13.366060
9105;9009105;Berlin, Seestr./Amrumer Str.;5824530;4591280;52.546219;13.344055
9106;9009106;Berlin, Seestr.;5825049;4591782;52.550797;13.351596
9151;9009151;Berlin, Gerichtstr.;5824360;4592546;52.544478;13.362664
9152;9009152;Berlin, Rathaus Wedding;5824727;4592126;52.547847;13.356577
9153;9009153;Berlin, Luxemburger Str.;5824303;4592031;52.544053;13.355060
9154;9009154;Berlin, Samoastr.;5824029;4591974;52.541601;13.354144
9155;9009155;Berlin, Kiautschoustr.;5823974;4592214;52.541067;13.357665
9156;9009156;Berlin, Antwerpener Str.;5824810;4591590;52.548683;13.348701
9201;9009201;U Nauener Platz (Berlin);5825150;4592850;52.551524;13.367365
9202;9009202;U Osloer Str. (Berlin);5825760;4593240;52.556938;13.373284
9203;9009203;U Pankstr. (Berlin);5825250;4593830;52.552255;13.381837
9204;9009204;Berlin, Osloer Str./Prinzenallee;5825662;4593946;52.555936;13.383663
9206;9009206;Berlin, Drontheimer Str.;5825720;4593530;52.556529;13.377547
9251;9009251;Berlin, Maxstr.;5824911;4592626;52.549415;13.363997
9252;9009252;Berlin, Exerzierstr.;5825433;4593139;52.554017;13.371704
9253;9009253;Berlin, Uferstr.;5825357;4593579;52.553259;13.378167
9254;9009254;Berlin, Ritterlandweg/Soldiner Str.;5826142;4593480;52.560328;13.376929
10201;9010201;Berlin, Sylter Str.;5824088;4590805;52.542327;13.336934
10251;9010251;Berlin, Virchow-Klinikum;5824220;4590925;52.543493;13.338739
11101;9011101;U Rehberge (Berlin);5825689;4591052;52.556670;13.341013
11102;9011102;U Afrikanische Str. (Berlin);5826146;4590534;52.560862;13.333502
11103;9011103;Berlin, Otawistr.;5825240;4590780;52.552681;13.336881
11104;9011104;Berlin, Glasgower Str.;5825500;4591392;52.554915;13.345972
11105;9011105;Berlin, Londoner Str.;5826436;4591166;52.563362;13.342898
11151;9011151;Berlin, TŸrkenstr.;5825344;4591437;52.553506;13.346593
11152;9011152;Berlin, Bristolstr.;5825913;4591767;52.558562;13.351614
11153;9011153;Berlin, Septimerstr.;5826530;4590880;52.564254;13.338708
11154;9011154;Berlin, Nachtigalplatz;5825710;4590620;52.556930;13.334651
11155;9011155;Berlin, Transvaalstr.;5825030;4590920;52.550771;13.338887
11201;9011201;Berlin, Louise-Schroeder-Platz;5825755;4592719;52.556982;13.365603
11206;9011206;Berlin, HollŠnderstr./Aroser Allee;5826308;4591905;52.562088;13.353757
11207;9011207;Berlin, Brienzer Str.;5826300;4592300;52.561949;13.359578
11251;9011251;Berlin, Iranische Str.;5825542;4592747;52.555063;13.365956
11252;9011252;Berlin, Osram-Hšfe;5825380;4592230;52.553696;13.358291
12101;9012101;S Anhalter Bahnhof (Berlin);5819937;4593967;52.504499;13.382355
12102;9012102;U Kochstr./Checkpoint Charlie (Berlin);5820190;4594540;52.506673;13.390863
12103;9012103;U Hallesches Tor (Berlin);5819201;4594620;52.497774;13.391760
